,title,album,release_date,featured_artists,producer_artists,writer_artists,genius_track_id,genius_album_id
0,0 to 100 / The Catch Up,#FYM12,2014-06-01,[],"['Chester Hansen', 'Vinylz', 'Ging', 'Boi-1da', '40', 'Nineteen85']","['Chester Hansen', 'Ging', 'Nineteen85', 'Drake', 'Boi-1da', '40', 'Vinylz']",156640,914226.0
1,10 Bands,If You’re Reading This It’s Too Late,2015-02-13,[],"['Ging', 'Sevn Thomas', 'Boi-1da']","['Sevn Thomas', 'Ging', 'Boi-1da', 'Quentin Miller', 'Drake']",703738,119674.0
2,1Xtra Freestyle,Tim Westwood I Freestyles,2010-06-11,[],['Tim Westwood'],['Drake'],421444,883007.0
3,2,<single>,,[],[],[],2457033,
4,2011 Juno Awards In Toronto,<single>,2011-03-26,[],[],[],214614,
5,2016 MTV VMAs Vanguard Award Intro for Rihanna,<single>,2016-08-28,[],[],['Drake'],2846923,
6,24,<single>,,[],"['Kanye West', 'Ojivolta', 'Warryn Campbell', 'Cory Henry', 'Brian Miller']","['Warryn Campbell', 'Cory Henry', 'Brian Miller', 'Mark Williams', 'Raul Cubina', 'Drake', 'Consequence', 'KayCyy', 'Kanye West', 'Malik Yusef', 'Al Be Back']",7475353,
7,305 to My City,Nothing Was the Same,2013-09-24,['Detail'],"['The Order', 'Detail']","['Sool Got Hits', 'Soko7', 'Dre Moon', 'Drake', 'Detail']",217281,40475.0
8,30 for 30 Freestyle,What a Time To Be Alive,2015-09-20,[],['40'],"['40', 'Drake']",2311376,131405.0
9,30 Hours (Reference),<single>,,[],[],['Drake'],6168379,
10,4422,More Life,2017-03-18,['Sampha'],['FrancisGotHeat'],"['FrancisGotHeat', 'Sampha']",3028680,286515.0
11,4PM in Calabasas,Care Package,2016-06-04,[],"['Allen Ritter', 'Ging', 'Vinylz']","['Ronnie Wilson', 'Matthew Wilder', 'Vinylz', 'Oliver Scott', 'Sylvia Robinson', 'Grandmaster Melle Mel', 'Duke Bootee', 'Ging', 'Clifton ‘’Jiggs’’ Chase', 'Brian Alexander Morgan', 'Greg Prestopino', 'Allen Ritter', 'Drake']",2489756,549691.0
12,5AM in Toronto,Care Package,2013-03-07,[],"['Allen Ritter', 'Nikhil Seetharam', 'Vinylz', 'Boi-1da']","['Bobbie Gentry', 'Allen Ritter', 'Boi-1da', 'Vinylz', 'Nikhil Seetharam', 'Drake']",124418,549691.0
13,6 God,If You’re Reading This It’s Too Late,2014-10-25,[],"['Ken Lewis', 'Boi-1da', 'Syk Sense']","['Ken Lewis', 'Syk Sense', 'Boi-1da', 'Drake']",500858,119674.0
14,6 Man,If You’re Reading This It’s Too Late,2015-02-13,[],"['Daxz', '40']","['Daxz', 'The Roots', 'Jill Scott', '40', 'Quentin Miller', 'Drake', '?uestlove', 'Black Thought']",703756,119674.0
15,6PM in New York,If You’re Reading This It’s Too Late,2015-02-13,[],"['Sevn Thomas', 'Ging', 'Boi-1da']","['Sevn Thomas', 'Boi-1da', 'Drake', 'Ging', 'Kenza Samir']",703730,119674.0
16,7am On Bridle Path,Certified Lover Boy,2021-09-03,[],"['Dude Clayy', 'Maneesh', '\u200bknd', 'Dez Wright', 'Cardo']","['\u200bknd', 'Cardo', 'Dez Wright', 'Maneesh', 'Drake']",7165567,585647.0
17,8 Out of 10,Scorpion,2018-06-29,[],"['OB O’Brien', 'Boi-1da', 'Jahaan Sweet']","['The Notorious B.I.G.', 'Jeff Lorber', 'James lloyd', 'Andreao “Fanatic” Heard', 'Arthur “T-Boy” Ross', 'Leon Ware', 'Abrim Tilmon', 'OB O’Brien', 'Jahaan Sweet', 'Boi-1da', 'Drake']",3807743,420582.0
18,9,Views,2016-04-29,[],"['40', 'Brian Alexander Morgan', 'Boi-1da']","['Drake', '40', 'Boi-1da', 'Brian Alexander Morgan', 'David Harrisingh', 'Craig Harrisingh', 'Serani', 'Mavado']",2463393,132506.0
19,9AM in Dallas,Thank Me Later,2010-06-15,[],['Boi-1da'],['Drake'],514,2630.0
20,Aaronredbaron CTT Low freestyle,<single>,2017-07-07,['Aaronredbaron CTT'],['Aaronredbaron CTT'],['Drake'],7737003,
21,About the Game,Room for Improvement,2006-02-14,['Trey Songz'],['Boi-1da'],"['Boi-1da', 'Trey Songz', 'Drake']",201539,2625.0
22,Acapella,Drake Demo Disk,2006-01-01,[],['Boi-1da'],"['Boi-1da', 'Drake']",4427020,516437.0
23,After Dark,Scorpion,2018-06-29,"['Ty Dolla $ign', 'Static Major']","['Joe Capo Kent', 'Shaun Harris', 'Static Major', '40']","['40', 'Joe Capo Kent', 'Melvin “Wah Wah” Watson', 'Maxwell', 'Ty Dolla $ign', 'Static Major', 'Drake']",3807744,420582.0
24,A Keeper,"Honestly, Nevermind",2022-06-17,[],"['&ME', 'Wondra030', 'Rampa']",['Drake'],8110886,880669.0
25,A Little Favour (GQ Freestyle),<single>,2012-04-13,[],[],['Drake'],68760,
26,All Me,Nothing Was the Same,2013-09-24,"['2 Chainz', 'Big Sean']","['40', 'KeY Wane']","['Ice-T', 'DJ Aladdin', 'George Clinton', 'Maurice Yvain', 'Drake', 'Anthony Palman', '2 Chainz', 'Big Sean', 'Jacques Charles', 'KeY Wane', 'Albert Willemetz']",196551,40475.0
27,All This Love,Room for Improvement,2006-02-14,['Voyce'],['Exchange Student'],"['Exchange Student', 'Voyce', 'Drake']",18064,2625.0
28,Alton Sterling Statement,<single>,2016-07-06,[],[],[],2814812,
29,AM 2 PM,Room for Improvement,2006-02-14,['Nickelus F'],['Nickelus F'],"['Nickelus F', 'Drake']",2751,2625.0
30,A Milli Freestyle,<single>,,[],['Bangladesh'],['Drake'],79011,
31,A Night Off,So Far Gone,2009-02-13,['Lloyd'],"['DJ Anuedy', '40']","['Drake', 'Lloyd', '40', 'DJ Anuedy', 'JAY-Z', 'Beanie Sigel', 'Ronald Isley', 'Ernie Isley', 'Marvin Isley', 'O’Kelly Isley', 'Rudolph Isley', 'Chris Jasper']",5140,2627.0
32,Apology for Autism Line,<single>,,[],[],[],193900,
33,A Scorpio’s Mind,Room for Improvement,2006-02-14,['Nickelus F'],['AmiR (Producer)'],"['AmiR (Producer)', 'Nickelus F', 'Drake']",5170,2625.0
34,Asthma Team,Comeback Season,2007-09-01,[],"['DJ Revolution', 'Sid Roams']","['Sid Roams', 'DJ Revolution', 'Drake']",2931,2622.0
35,ATF Radio Freestyle,<single>,,[],[],['Drake'],68366,
36,At The Gates,Scary Hours 3*,,['Lil Uzi Vert'],[],"['Drake', 'Lil Uzi Vert']",7179459,918587.0
37,Baby Come With Me,<single>,,[],[],[],49098,
38,BackOutsideBoyz,Her Loss,2022-11-04,[],"['Rio Leyva', 'Dez Wright', 'Taz Taylor']","['Drake', 'Rio Leyva', 'Dez Wright', 'Taz Taylor', 'Lil Yachty']",8524067,966485.0
39,Back to Back,Feed The Streets 12,2015-07-29,[],"['Drake', '40', 'NAV', 'Daxz']","['Daxz', 'NAV', '40', 'Drake']",2266961,909633.0
40,Bad Meaning Good,Room for Improvement,2006-02-14,['Slakah the Beatchild'],['Slakah the Beatchild'],"['Byram Joseph', 'Drake']",18067,2625.0
41,Ballin,<single>,,[],[],[],5896332,
42,Ballin again,<single>,,[],[],[],5969268,
43,Barry Bonds (Freestyle),Comeback Season,2007-09-01,[],[],['Drake'],2747,2622.0
44,Beautiful Music,<single>,,[],[],['Drake'],1182,
45,Behind Barz,Top Boy (A Selection of Music Inspired by the Series),2019-09-13,[],['Richie Beatz (USA)'],['Drake'],4864687,561628.0
46,Behind Barz (Link Up TV Freestyle),Link Up TV Freestyles,2018-07-07,[],['Richie Beatz (USA)'],['Drake'],3824736,552569.0
47,Belly Shit,<single>,2009-07-12,['Belly'],[],[],6240,
48,Belong to the City (Demo),<single>,,[],['PARTYNEXTDOOR'],['Drake'],4941870,
49,Best I Ever Had,So Far Gone,2009-02-13,[],['Boi-1da'],"['40', 'Boi-1da', 'Joe Frank & Reynolds', 'Hamilton (US)', 'Kia Shine', 'Lil Wayne', 'Drake']",672,2627.0
50,Between Us,<single>,2009-09-01,['Slakah the Beatchild'],['Häzel'],"['Slakah the Beatchild', 'Drake']",81686,
51,Bitch Is Crazy,Comeback Season,2007-09-01,[],['40'],"['40', 'Drake']",18051,2622.0
52,Blackface Response,<single>,2018-05-31,[],['Drake'],['Drake'],3754945,
53,Blem,More Life,2017-03-18,[],"['Ging', 'T-Minus']","['Lionel Richie', 'Ging', 'T-Minus', 'Drake']",3028677,286515.0
54,Blind Faith (Come Back to Me),<single>,,['Billie Eilish'],['GOVI'],"['Drake', 'Billie Eilish']",6198225,
55,Blind Faith (Come Back to Me) [Demo],<single>,,[],['GOVI'],[],8759722,
56,Blue Tint,Scorpion,2018-06-29,[],"['Taz Taylor', 'JRHITMAKER', '!llmind', 'Supah Mario']","['Taz Taylor', 'JRHITMAKER', '!llmind', 'Supah Mario', 'Future', 'Drake']",3807754,420582.0
57,Body 2 Body (Lovesick),<single>,,[],['40'],['Drake'],5284400,
58,Brand New,So Far Gone,2009-02-13,[],['D10'],"['D10', '40', 'Drake']",4090,2627.0
59,Brand New (Remix),The Leak 4,2008-10-05,['Lil Wayne'],"['D10', '40']","['Lil Wayne', 'Drake']",92761,648536.0
60,Bria’s Interlude,So Far Gone,2009-02-13,['Omarion'],['40'],"['Verdine White', 'Maurice White', 'Timbaland', 'Missy Elliott', '40', 'Omarion', 'Drake']",4815,2627.0
61,Bullets Don’t Tickle*,<single>,,"['Westside Gunn', 'Benny the Butcher', 'Conway the Machine', 'Action Bronson', 'Jay Electronica']",['Just Blaze'],"['Drake', 'Jay Electronica', 'Action Bronson', 'Just Blaze', 'Westside Gunn', 'Benny', 'Conway the Machine']",5397386,
62,Buried Alive Interlude,Take Care,2011-11-15,['Kendrick Lamar'],"['Supa Dups', '40']","['Kendrick Lamar', 'Supa Dups', '40']",55602,10787.0
63,Cad,<single>,,[],[],[],7722910,
64,Calling My Name,"Honestly, Nevermind",2022-06-17,[],"['Gordo', 'LIOHN', 'Klahr', 'Beau Nox', 'Alex Lustig']","['Drake', 'Gordo']",8110887,880669.0
65,Calling My Name (Extended Version),<single>,,[],"['Alex Lustig', 'Beau Nox', 'Klahr', 'LIOHN', 'Gordo']",[],8148830,
66,Cameras,Take Care,2011-11-15,[],"['40', 'Drake']","['Drake', '40', 'Anthony Palman']",58342,10787.0
67,Can I,Care Package,2015-10-03,['Beyoncé'],['40'],"['40', 'Johnny Marr', 'Beyoncé', 'Drake']",1865293,549691.0
68,Cannonball (Snippet),Heartbreak Drake,2009-12-19,['Colin Munroe'],[],"['Colin Munroe', 'Drake']",3175723,359632.0
69,Can’t Go Back/Everything,<single>,,[],"['OZ', 'Dez Wright', 'Sven Thomas', 'Nineteen85']",['Drake'],7162843,
70,Can’t Have Everything,More Life,2017-03-18,[],"['Jazzfeezy', 'Steve Samson']","['Jazzfeezy', 'Steve Samson', 'Drake']",3028708,286515.0
71,Can’t Hide from Love Freestyle,<single>,,[],[],['Drake'],81757,
72,Can’t Take a Joke,Scorpion,2018-06-29,[],['ModMaxx'],"['ModMaxx', 'Drake']",3807748,420582.0
73,Cece’s Interlude,Thank Me Later,2010-06-15,[],['40'],"['Adrian X', '40', 'Drake']",4802,2630.0
74,Champagne Poetry,Certified Lover Boy,2021-09-03,[],"['J.L.L.', 'Maneesh', 'Masego', '40']","['J.L.L.', 'Gabriel Hardeman', 'Drake', 'Maneesh', 'Masego', '40', 'John Lennon', 'Paul McCartney']",6859296,585647.0
75,Charged Up,<single>,2015-07-27,[],"['Ging', 'Maneesh', '40']","['40', 'Ging', 'Maneesh', 'Drake']",2263716,
76,Chicago Freestyle,Dark Lane Demo Tapes,2020-03-01,['GIVĒON'],"['Noel Cadastre', 'Sevn Thomas']","['Drake', 'GIVĒON', 'Noel Cadastre', 'Sevn Thomas', 'Eminem', 'Jeff Bass', 'Steve King']",5310327,630537.0
77,Child’s Play,Views,2016-04-29,[],"['40', 'Metro Boomin', 'Nineteen85', 'Jordan Ullman']","['Drake', '40', 'Metro Boomin', 'Fat Boys', 'Kool Rock Ski', 'Buff Love', 'Prince Markie Dee']",2463387,132506.0
78,City Is Mine,Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",3351,2625.0
79,Closer to My Dreams,Comeback Season,2007-09-01,['Andreena Mill'],"['Mike Tiger', 'Amp Live']",['Drake'],2387,2622.0
80,Club Paradise,Care Package,2011-09-10,[],['40'],"['40', 'Drake']",55579,549691.0
81,Comeback Season,Comeback Season,2007-09-01,[],['Nottz'],"['Nottz', 'Drake']",1217,2622.0
82,Come Real,Heartbreak Drake,2009-12-19,['Kyoko'],[],"['Kyoko', 'Drake']",57363,359632.0
83,Come Thru,Nothing Was the Same,2013-09-24,[],['40'],"['Noel “Gadget” Campbell', 'Drake', 'Anthony Palman', '40']",217280,40475.0
84,Come Winter,Room for Improvement,2006-02-14,[],['AmiR (Producer)'],"['AmiR (Producer)', 'Drake']",3100,2625.0
85,Comments on Macklemore’s Post-Grammy Text,<single>,,[],[],[],361188,
86,Company,If You’re Reading This It’s Too Late,2015-02-13,['Travis Scott'],"['Allen Ritter', 'TM88', 'Travis Scott', 'WondaGurl']","['Allen Ritter', 'WondaGurl', 'TM88', 'Travis Scott', 'Drake']",703732,119674.0
87,Concentrate*,<single>,,[],[],[],5701120,
88,Confusion (Remix),<single>,,[],[],[],8111103,
89,Congratulations,So Far Gone,2009-02-13,[],"['40', 'Megaman']","['Megaman', 'Chris Martin', 'W. Champion', 'J. Buckland', 'G. Berryman', '40', 'O. McWhinney', 'Drake']",815,2627.0
90,Connect,Nothing Was the Same,2013-09-24,[],"['Hudson Mohawke', '40']","['Kenza Samir', 'Hudson Mohawke', '40', 'Anthony Palman', 'Drake']",217268,40475.0
91,Controlla,Views,2016-04-29,[],"['Supa Dups', 'Di Genius', 'Allen Ritter', 'Boi-1da']","['Drake', 'Boi-1da', 'Supa Dups', 'Allen Ritter', 'Di Genius', 'Andrew Thomas', 'Patrick Roberts', 'Garu Jackson', 'Donald Dennis', 'Beenie Man']",2464123,132506.0
92,Controlla (Leak),<single>,2016-03-29,['Popcaan'],['Boi-1da'],"['Popcaan', 'Boi-1da', 'Drake']",2446919,
93,Corn,<single>,,[],[],[],7722905,
94,Crew Love,Take Care,2012-07-30,['The Weeknd'],"['Illangelo', '40', 'The Weeknd']","['Drake', 'The Weeknd', '40', 'Illangelo', 'Anthony Palman']",58497,10787.0
95,Currents,"Honestly, Nevermind",2022-06-17,[],"['Gordo', 'Black Coffee']","['Drake', 'Gordo', 'Lil Jon', 'LaMarquis Jefferson', 'Craig Love', 'Dirty Mouth', 'Donnell Prince', 'Lil Atlanta', 'TRESOR', 'Nathi Maphumulo']",8110885,880669.0
96,D,<single>,,[],[],[],2469366,
97,Dark Pink,<single>,2018-10-13,[],['Drake'],['Drake'],4051325,
98,Days in the East,Care Package,2014-04-03,[],"['40', 'PARTYNEXTDOOR']","['Robert Reives', 'Justin Parker', 'Ginuwine', 'Timbaland', '40', 'Mikky Ekko', 'PARTYNEXTDOOR', 'Drake']",384908,549691.0
99,Dead Presidents Freestyle,<single>,2007-01-14,[],[],['Drake'],602065,
100,Deceiving,<single>,,[],[],['Drake'],2612,
101,Deep Pockets,Dark Lane Demo Tapes,2020-05-01,[],"['Plain Pat', '40']","['Plain Pat', '40', 'Drake']",5433444,630537.0
102,Demons,Dark Lane Demo Tapes,2020-05-01,"['Sosa Geek', 'Fivio Foreign']",['JB Made It'],"['Sosa Geek', 'Fivio Foreign', 'JB Made It', 'Drake']",5235956,630537.0
103,Desires,Dark Lane Demo Tapes,2020-01-31,['Future'],"['Noel Cadastre', 'D. Hill']","['D. Hill', 'Future', 'Drake']",4825634,630537.0
104,Desires (Demo),<single>,,['Future'],"['Noel Cadastre', 'D. Hill']","['Future', 'D. Hill', 'Drake']",5218759,
105,Diplomatic Immunity,Scary Hours,2018-01-19,[],"['Boi-1da', 'Nick Brongers']","['Drake', 'Boi-1da', 'Nick Brongers', 'Maneesh']",3248485,391461.0
106,Doing His Thing,<single>,,[],['Terrel “T. Slack”'],"['Terrel “T. Slack”', 'Drake']",57394,
107,Doing It Wrong,Take Care,2011-11-15,[],['40'],"['Drake', '40']",53388,10787.0
108,Do It All,Young Sweet Jones,2010-07-15,[],"['Ayo The Producer', 'Rob Holladay']",['Drake'],841,881461.0
109,Do It Now,<single>,2009-06-20,[],[],['Drake'],49497,
110,Do Not Disturb,More Life,2017-03-18,[],"['40', 'Allen Ritter', 'Boi-1da']","['Leven Kali', 'Boi-1da', 'Snoh Aalegra', 'Allen Ritter', '40', 'Drake']",3028713,286515.0
111,Don’t Run,<single>,,[],"['Sevn Thomas', 'L8 Show', 'Bizness Boi', 'Baba Stilz']",['Drake'],3575512,
112,Don’t You Have a Man,Comeback Season,2007-09-01,"['Little Brother', 'Dwele']","['D10', 'Boi-1da']","['Boi-1da', 'D10', 'Little Brother', 'Phonte', 'Dwele', 'Drake']",18052,2622.0
113,Do What You Do,Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",146202,2625.0
114,Do What You Do (Remix),Comeback Season,2007-09-01,"['No Malice', 'Nickelus F']",['Boi-1da'],"['Boi-1da', 'Nickelus F', 'No Malice', 'Drake']",18050,2622.0
115,Down Hill,"Honestly, Nevermind",2022-06-17,[],['40'],"['Drake', '40', 'Beau Nox', 'TRESOR']",8110896,880669.0
116,Draft Day,Care Package,2014-04-01,[],"['Syk Sense', 'Ducko McFli', 'Boi-1da']","['Lauryn Hill', 'Ducko McFli', 'Syk Sense', 'Boi-1da', 'Drake']",393612,549691.0
117,Drake [Discography List],<single>,,[],[],['Drake'],6982490,
118,Drake & DJ Semtex Interview,<single>,2017-02-18,[],[],[],2993982,
119,Drake Speaks,<single>,,[],[],[],3266998,
120,Drake’s Tattoos,<single>,,[],[],[],375979,
121,Drake’s Voice Mail Box #1,Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",3033393,2625.0
122,Drake’s Voice Mail Box #2,Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",3033398,2625.0
123,Drake’s Voice Mail Box #3,Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",3033402,2625.0
124,Dreams Money Can Buy,Care Package,2011-05-20,[],['40'],"['Adrian X', 'Jai Paul', '40', 'Drake']",50202,549691.0
125,Duppy Freestyle,<single>,2018-05-25,[],"['Jahaan Sweet', 'Boi-1da']",['Drake'],3743307,
126,Easy,<single>,,['Young Thug'],"['40', 'Supa Dups']","['Drake', '40', 'Young Thug', 'Ashante Reid', 'Supa Dups']",3793736,
127,Easy to Please,Comeback Season,2007-09-01,['Richie Sosa'],['Rich Kidd'],"['Rich Kidd', 'Richie Sosa', 'Drake']",18053,2622.0
128,Elevate,Scorpion,2018-06-29,[],"['PARTYNEXTDOOR', 'Nonstop Da Hitman']","['G. Ry', 'Murda Beatz', 'Nonstop Da Hitman', 'PARTYNEXTDOOR', 'Drake']",3797175,420582.0
129,Emotionless,Scorpion,2018-06-29,[],"['The 25th Hr', '40', 'No I.D.']","['Kenza Samir', '40', 'No I.D.', 'The 25th Hr', 'Mariah Carey', 'David Cole', 'Robert Clivillés', 'Drake']",3807731,420582.0
130,Empire,J.U.S.T.I.C.E. For All,2016-01-25,['Rick Ross'],"['The Coalition', 'J.U.S.T.I.C.E. League']","['Erik Ortiz', 'Antoine Heard', 'Julius Dunbar', 'Kevin Crowe', 'Jon Bishop', 'Drake', 'Rick Ross', 'Kenny Bartolomei']",2412876,142638.0
131,Energy,If You’re Reading This It’s Too Late,2015-02-13,[],"['OB O’Brien', 'Boi-1da']","['Markus Kienzi', 'Richard dorfmeister', 'Phillip Thomas', 'OB O’Brien', 'Boi-1da', 'Drake']",703741,119674.0
132,ESPYs Conference Call,<single>,2014-07-11,['ESPN'],[],[],479474,
133,ESPYS: Honorable Mention,<single>,,[],[],[],479806,
134,Exposed (Voyce Diss),<single>,,[],[],['Drake'],111876,
135,Extra Special,Room for Improvement,2006-02-14,[],['Boi-1da'],"['Boi-1da', 'Drake']",4927,2625.0
136,Faded,Comeback Season,2007-09-01,['Nickelus F'],['Rich Kidd'],"['Rich Kidd', 'Nickelus F', 'Drake']",3288,2622.0
137,Fair Trade,Certified Lover Boy,2021-09-03,['Travis Scott'],"['WondaGurl', 'Travis Scott', 'Jahaan Sweet', 'Patron (Producer)', 'OZ']","['Mk.gee', 'Marcus Reddick', 'Teo Halm', 'Kyla Moscovich', 'Brandon Banks', 'D’Mile', 'Babyface', 'Varren Wade', 'Charlotte Day Wilson', 'OZ', 'Patron (Producer)', 'Jahaan Sweet', 'WondaGurl', 'Travis Scott', 'Drake']",6833653,585647.0
138,Faithful,Views,2016-04-29,"['Pimp C', '\u200bdvsn']","['Boi-1da', 'Nineteen85', '40']","['Drake', '40', 'Boi-1da', 'Nineteen85', 'Daniel Daley', 'Bryan-Michael Cox', 'Kevin Hicks', 'Johntá Austin', '\u200bdvsn', 'Pimp C']",2448795,132506.0
139,Faithful (Extended Version),<single>,2016-09-24,"['\u200bdvsn', 'Pimp C']",['40'],"['Boi-1da', 'Johntá Austin', 'Bryan-Michael Cox', 'Nineteen85', '\u200bdvsn', 'Pimp C', 'Drake']",2867496,
140,Fake Love,More Life,2016-10-23,[],"['Vinylz', 'Ging']","['John Whitehead', 'Gene McFadden', 'Leon Huff', 'Starrah', 'Ging', 'Vinylz', 'Drake']",2890553,286515.0
141,Fallen,<single>,2009-07-09,['Keshia Chanté'],['Tyrice Jones'],"['Nastacia Kendall', 'Leslie Pridgen', 'Keshia Chanté', 'Drake']",1272700,
142,Fall For Your Type,<single>,,[],[],['Drake'],1194,
143,Falling Back,"Honestly, Nevermind",2022-06-17,[],"['&ME', 'Rampa', 'Beau Nox', 'Alex Lustig']","['Drake', '&ME', 'Rampa', 'Beau Nox', 'Alex Lustig']",8110883,880669.0
144,Fancy,Thank Me Later,2010-06-15,"['T.I.', 'Swizz Beatz']","['Swizz Beatz', '40']","['Mary J. Blige', 'Swizz Beatz', 'T.I.', 'Henry Zant', 'Aubrey Johnson', 'Boi-1da', '40', 'Drake']",583,2630.0
145,Fancy (Dick Clark’s New Year’s Rockin’ Eve 2011) (New Verse),<single>,,[],[],[],3055,
146,Fancy (Remix),<single>,2010-12-03,"['Mary J. Blige', 'Swizz Beatz']","['Swizz Beatz', '40']",[],18062,
147,Fdfgsdg,<single>,2022-12-30,[],[],[],8648113,
148,Fear,So Far Gone (EP),2009-09-15,[],"['Bēkon', 'DJ Khalil']","['DJ Khalil', 'Chin Injeti', 'Bēkon', 'Drake']",842,31785.0
149,Feel No Ways,Views,2016-04-29,[],"['40', 'Kanye West', 'Jordan Ullman']","['Drake', '40', 'Future', 'Malcolm McLaren', 'Anne Dudley', 'Jordan Ullman']",2463398,132506.0
150,Final Fantasy,Scorpion,2018-06-29,[],"['Jahaan Sweet', 'Boi-1da', '40']","['Michel Legrand', 'Marilyn Bergman', 'Alan Bergman', 'Adrian X', 'Darrell Freeman', '40', 'Jahaan Sweet', 'Boi-1da', 'Drake']",3807764,420582.0
